,選手名,選手名（英字）,前所属チーム,生年月日,所属チーム
14,橋本　陸,Riku HASHIMOTO,上福岡少年少女ＳＣ－坂戸ディプロマッツＦＣ－西武台高－法政大,1998/02/11,福島ユナイテッドＦＣ
15,池髙　暢希,Nobuki IKETAKA,ＳＳＳ札幌ＳＳ－ＳＳＳジュニアユース－浦和レッズユース－浦和レッズ－カターレ富山－浦和レッズ,2000/04/05,福島ユナイテッドＦＣ
16,北村　椋太,Ryota KITAMURA,湘南ベルマーレＵ－１５－湘南ベルマーレＵ－１８－関東学院大,1998/06/30,福島ユナイテッドＦＣ
17,山本　海人,Kaito YAMAMOTO,清水ＦＣ－清水エスパルスＪｒユース－清水エスパルスユース－清水エスパルス－ヴィッセル神戸－ジェフユナイテッド千葉－横浜ＦＣ－ジェフユナイテッド千葉－ロアッソ熊本,1985/07/10,福島ユナイテッドＦＣ
18,福島　隼斗,Hayato FUKUSHIMA,豊川ＦＣ－松橋中－大津高－湘南ベルマーレ－福島ユナイテッドＦＣ－湘南ベルマーレ,2000/04/26,福島ユナイテッドＦＣ
19,鎌田　大夢,Hiromu KAMADA,キッズＦＣ－ＪＦＡアカデミー福島Ｕ－１５－ＪＦＡアカデミー福島Ｕ－１８－昌平高,2001/06/23,福島ユナイテッドＦＣ
20,長野　星輝,Shoki NAGANO,東谷レッドスター－小倉南ＦＣ－東福岡高,2002/05/22,福島ユナイテッドＦＣ
21,堂鼻　起暉,Kazuki DOHANA,千里丘ＦＣ－ヴィッセル神戸Ｕ－１８－びわこ成蹊スポーツ大,1998/12/05,福島ユナイテッドＦＣ
22,吉永　大志,Hiroshi YOSHINAGA,前橋育英高－日本大,1996/10/14,福島ユナイテッドＦＣ
23,佐藤　和樹,Kazuki SATO,名古屋グランパス三好－名古屋グランパスＵ１５－名古屋グランパスＵ１８－名古屋グランパス－水戸ホーリーホック－カターレ富山－水戸ホーリーホック－カターレ富山－ヴァンラーレ八戸,1993/05/18,福島ユナイテッドＦＣ
24,柴　圭汰,Keita SHIBA,伊奈小針サッカースポーツ少年団－小針中－昌平高,2002/09/12,福島ユナイテッドＦＣ
25,樋口　寛規,Hiroki HIGUCHI,宝塚ジュニアＦＣ－学文中－滝川二高－清水エスパルス－ＦＣ岐阜－清水エスパルス－ＦＣ岐阜－清水エスパルス－湘南ベルマーレ－清水エスパルス－ＳＣ相模原－清水エスパルス,1992/04/16,福島ユナイテッドＦＣ
26,上畑　佑平士,Uheiji UEHATA,高須ＳＣ－セレッソ大阪西Ｕ－１５－セレッソ大阪Ｕ－１８－産業能率大,1998/07/25,福島ユナイテッドＦＣ
27,堤　聖司,Seiji TSUTSUMI,寒田ＳＳＣ－南大分中－大分高,2002/08/04,福島ユナイテッドＦＣ
0,佐川　亮介,Ryosuke SAGAWA,志茂ＦＣ－大原中－埼玉栄高－拓殖大,1993/07/17,Ｙ．Ｓ．Ｃ．Ｃ．横浜
1,花房　稔,Minoru HANAFUSA,小柳まむし坂ＳＣ－横河武蔵野ＦＣＪｒユース－国学院久我山高－国士舘大－ＦＣ琉球,1996/07/30,Ｙ．Ｓ．Ｃ．Ｃ．横浜
2,宗近　慧,Kei MUNECHIKA,サンフレッチェびんごＪｒユース－サンフレッチェ広島ユース－法政大,1992/05/29,Ｙ．Ｓ．Ｃ．Ｃ．横浜
3,土館　賢人,Kento DODATE,福田ＦＣＪｒ－横浜ＦＣ泉Ｊｒユース－湘南工科大附属高－関東学院大－グルージャ盛岡,1992/08/23,Ｙ．Ｓ．Ｃ．Ｃ．横浜
4,池ヶ谷　颯斗,Hayato IKEGAYA,ＦＣあいの里ＴＩＰＳ－ＳＳＳ札幌ＳＳ－札幌第一高－国士舘大－水戸ホーリーホック－ガイナーレ鳥取－水戸ホーリーホック－ガイナーレ鳥取,1992/03/30,Ｙ．Ｓ．Ｃ．Ｃ．横浜
5,佐藤　祐太,Yuta SATO,ＦＣ８０洋光台－バディーＳＣ－横浜Ｆ・マリノスＪｒユース－前橋育英高－専修大,1995/05/13,Ｙ．Ｓ．Ｃ．Ｃ．横浜
6,神田　夢実,Yumemi KANDA,コンサドーレ札幌Ｕ－１２－コンサドーレ札幌Ｕ－１５－コンサドーレ札幌Ｕ－１８－コンサドーレ札幌－ＳＣ相模原－北海道コンサドーレ札幌－愛媛ＦＣ－東京２３ＦＣ,1994/09/14,Ｙ．Ｓ．Ｃ．Ｃ．横浜
7,吉田　明生,Akio YOSHIDA,ＦＣ湘南辻堂－ＦＣ湘南－武相高－東海大－アルテ高崎,1986/12/03,Ｙ．Ｓ．Ｃ．Ｃ．横浜
8,大泉　和也,Kazuya OIZUMI,富士見台ＳＣ－東京ヴェルディジュニア－東急ＳＳレイエスＦＣ－横浜ＦＣユース－桐蔭横浜大,1991/06/19,Ｙ．Ｓ．Ｃ．Ｃ．横浜
9,柳　雄太郎,Yutaro YANAGI,希望ヶ丘ＳＣスポーツ少年団－長岡ビルボードＦＣ－帝京長岡高－明海大,1995/09/18,Ｙ．Ｓ．Ｃ．Ｃ．横浜
10,ンドカ　チャールス,Charles NDUKA,越谷サンシンサッカースポーツ少年団－ＦＣ　ＫＡＳＵＫＡＢＥ－明秀学園日立高－城西大,1998/08/08,Ｙ．Ｓ．Ｃ．Ｃ．横浜
11,長澤　卓己,Takumi NAGASAWA,世田谷ヴァロールサッカークラブ－東京ヴェルディジュニア－東京ヴェルディＪｒユース－駒澤大高－日本体育大－ビーシー　ビクトリア　グラッ／ドイツ－Ｙ．Ｓ．Ｃ．Ｃ．横浜セカンド,1992/05/27,Ｙ．Ｓ．Ｃ．Ｃ．横浜
12,金子　大晟,Taisei KANEKO,Ｙ．Ｓ．Ｃ．Ｃ．スクール－Ｙ．Ｓ．Ｃ．Ｃ．アカデミークラス－Ｙ．Ｓ．Ｃ．Ｃ．Ｊｒユース－Ｙ．Ｓ．Ｃ．Ｃ．横浜Ｕ－１８－Ｙ．Ｓ．Ｃ．Ｃ．横浜－台中Ｆｕｔｕｒ／チャイニーズタイペイ,1998/08/14,Ｙ．Ｓ．Ｃ．Ｃ．横浜
13,ピーダーセン　世穏,Jorn PEDERSEN,ＦＣトリプレッタＪｒユース－ＦＣトリプレッタユース－慶応義塾大,1997/12/12,Ｙ．Ｓ．Ｃ．Ｃ．横浜
14,小池　大喜,Daiki KOIKE,ＦＣフトゥーラス　エストレージャス－大宮アルディージャユース－東洋大－ブラウブリッツ秋田,1996/12/08,Ｙ．Ｓ．Ｃ．Ｃ．横浜
15,吉野　裕太郎,Yutaro YOSHINO,Ｙ．Ｓ．Ｃ．Ｃ．アカデミークラス－ＦＣ　ＣＯＪＢ　Ｊｒユース－スザノＵ２０／ブラジル－ＳＣリニャレンセ／ブラジル－ＡＤグアルーリョス／ブラジル－エスペランサＳＣ－Ｙ．Ｓ．Ｃ．Ｃ．横浜セカンド,1996/10/18,Ｙ．Ｓ．Ｃ．Ｃ．横浜
16,柳園　良太,Ryota YANAGISONO,ＦＣ東京Ｕ－１５むさし－西武台高－東京国際大－ＦＣヴィクトリア０８　アルノ／ドイツ－SV　Ｒｏｔｔ／ドイツ,1996/04/12,Ｙ．Ｓ．Ｃ．Ｃ．横浜
17,和田　幹大,Kanta WADA,平潟スポーツ少年団－ＦＯＵＲＷＩＮＤＳ　ＦＣジュニアユー－昌平高－新潟医療福祉大－ＦＯＵＲＷＩＮＤＳ　ＦＣ－Ｙ．Ｓ．Ｃ．Ｃ．横浜セカンド,1996/09/01,Ｙ．Ｓ．Ｃ．Ｃ．横浜
18,田場　ディエゴ,Diego TABA,駒寄滝の沢サッカースポーツ少年団－ＦＣ湘南Ｊｒユース－日大藤沢高－国士舘大,1996/05/31,Ｙ．Ｓ．Ｃ．Ｃ．横浜
19,山本　凌太郎,Ryotaro YAMAMOTO,市川ＫＩＦＣ－横浜ＦＣＪｒユース－横浜ＦＣユース－横浜ＦＣ,1998/12/07,Ｙ．Ｓ．Ｃ．Ｃ．横浜
20,尾身　俊哉,Toshiya OMI,石原サッカースポーツ少年団－江南南サッカー少年団－クマガヤＳＣ－横浜Ｆ・マリノスユース－専修大,1995/10/10,Ｙ．Ｓ．Ｃ．Ｃ．横浜
21,船橋　勇真,Yuma FUNABASHI,東伊興ＳＳＳ－ＦＣ．ＰＲＯＵＤ－ジェファＦＣ－江戸川大,1997/11/13,Ｙ．Ｓ．Ｃ．Ｃ．横浜
22,熊川　翔,Kakeru KUMAGAWA,柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８－流通経済大－いわきＦＣ－横浜ＦＣ,1997/04/02,Ｙ．Ｓ．Ｃ．Ｃ．横浜
23,西山　峻太,Shunta NISHIYAMA,明治フリーバーズ－ＦＣラステッラ－室蘭大谷高－国士舘大,1989/07/25,Ｙ．Ｓ．Ｃ．Ｃ．横浜
24,植村　友哉,Tomoya UEMURA,一本松SC－横浜ジュニオールＳＣ－Ｙ．Ｓ．Ｃ．Ｃ．横浜Ｕ－１５－Ｙ．Ｓ．Ｃ．Ｃ．横浜Ｕ－１８,2000/05/19,Ｙ．Ｓ．Ｃ．Ｃ．横浜
25,古山　蓮,Ren FURUYAMA,相模ＦＣ－ＦＣインフィニット相模原Ｊｒユース－ＦＣグラシア相模原ユース－ＦＣグラシア相模原－世田谷シティＦＣ－ＦＣグラシア相模原,1998/11/11,Ｙ．Ｓ．Ｃ．Ｃ．横浜
26,オニエ　オゴチュクウ,ONYE OGOCHUKWU Promise,ダイナモスポーツファウ／ナイジェリア－高知中央高,2002/03/13,Ｙ．Ｓ．Ｃ．Ｃ．横浜
27,河辺　駿太郎,Shuntaro KAWABE,ＦＣ　ＲＥＧＡＴＥ－大分西中－明治大－ＦＶディーフレン／ドイツ－ＴＳＧプフェッダースハイム／ドイツ－ジェイリースＦＣ,1996/05/26,Ｙ．Ｓ．Ｃ．Ｃ．横浜
28,菊谷　篤資,Atsushi KIKUTANI,ヴィヴァイオ船橋Ｓ．ＣＪｒユース－聖和学園高－江戸川大－ＴＳＧブレッツェンハイム／ドイツ－ＴＳＧプフェッダースハイム／ドイツ－ＦＣバイエルン　アルツェナウ／ドイツ,1997/06/18,Ｙ．Ｓ．Ｃ．Ｃ．横浜
29,谷　俊勲,Shunkun TANI,ＦＣブラジル渋谷－ＦＣ東京Ｕ－１５むさし－ＦＣ東京Ｕ－１８－日本大学－アルビレックス新潟シン／シンガポール－エストゥディアンテス デ ／スペイン－ブリオベッカ浦安－Ｙ．Ｓ．Ｃ．Ｃ．横浜－台中Ｆｕｔｕｒ／チャイニーズタイペイ,1993/08/11,Ｙ．Ｓ．Ｃ．Ｃ．横浜
30,秋葉　信秀,Nobuhide AKIBA,ジェフユナイテッド市原Ｊｒユース－ジェフユナイテッド市原ユース－静岡産業大－ザスパ草津－ジェフリザーブズ－Ｖｏｎｄｓ市原,1985/04/10,Ｙ．Ｓ．Ｃ．Ｃ．横浜
31,一宮　憲太,Kenta ICHIMIYA,ＡＺ８６東京青梅－桐生第一高－平成国際大－ベランビＦＣ／オーストラリア,1998/02/24,Ｙ．Ｓ．Ｃ．Ｃ．横浜
32,大城　蛍,Kei OSHIRO,イレブン与那原－Ｗウイング沖縄ＦＣ－浦和レッズユース－浦和レッズ－ガイナーレ鳥取－浦和レッズ,2000/09/16,Ｙ．Ｓ．Ｃ．Ｃ．横浜
33,上田　航平,Kohei UEDA,Ｙ．Ｓ．Ｃ．Ｃ．スクール－Ｙ．Ｓ．Ｃ．Ｃ．アカデミークラス－Ｙ．Ｓ．Ｃ．Ｃ．Ｊｒユース－Ｙ．Ｓ．Ｃ．Ｃ．横浜Ｕ－１８－Ｙ．Ｓ．Ｃ．Ｃ．横浜－台中Ｆｕｔｕｒ／チャイニーズタイペイ,1998/06/26,Ｙ．Ｓ．Ｃ．Ｃ．横浜
34,宮内　寛斗,Hiroto MIYAUCHI,上中里ＳＣ－ＢＡＮＦＦ横浜ベイ－Ｙ．Ｓ．Ｃ．Ｃ．横浜Ｕ－１８－Ｙ．Ｓ．Ｃ．Ｃ．横浜－松江シティＦＣ－ヴェルスパ大分,1998/01/23,Ｙ．Ｓ．Ｃ．Ｃ．横浜
35,日高　アレクサンドル,Alexandre BEBENYONHIDAKA(Alexandre HIDAKA),ＦＣ　ＡＳＡＨＩ－橘学苑高－Ｙ．Ｓ．Ｃ．Ｃ．セカンド,2000/04/09,Ｙ．Ｓ．Ｃ．Ｃ．横浜
0,田中　謙吾,Kengo TANAKA,暁星中－暁星高－日本体育大－ＡＣ長野パルセイロ－松本山雅ＦＣ,1989/12/30,ＡＣ長野パルセイロ
1,喜岡　佳太,Keita YOSHIOKA,烏山北ＦＣ－ＦＣトッカーノＵ－１５－市立船橋高－新潟医療福祉大,1997/10/05,ＡＣ長野パルセイロ
2,秋山　拓也,Takuya AKIYAMA,豊南ＪＦＴ－ＳＣ豊田－愛知産業大三河高－大阪体育大－アルビレックス新潟シン／シンガポール－ヴァンフォーレ甲府－徳島ヴォルティス,1994/08/26,ＡＣ長野パルセイロ
3,内田　恭兵,Kyohei UCHIDA,ジュビロ沼津－ジュビロ磐田ユース－関西大－京都サンガF.C.,1992/11/05,ＡＣ長野パルセイロ
4,広瀬　健太,Kenta HIROSE,川口北ＳＣ－浦和レッズＪｒユース－浦和レッズユース－日本体育大－湘南ベルマーレ－栃木ＳＣ－湘南ベルマーレ－栃木ＳＣ－湘南ベルマーレ－アルビレックス新潟,1992/06/26,ＡＣ長野パルセイロ
5,坪川　潤之,Hiroyuki TSUBOKAWA,札幌南サッカー少年団－京都ズイーガＳＣ－札幌ジュニアＦＣ Ｕ－１２－札幌ジュニアＦＣ Ｕ－１５－矢板中央高－東洋大,1997/05/15,ＡＣ長野パルセイロ
6,水谷　拓磨,Takuma MIZUTANI,清水エスパルスＪｒユース－清水エスパルスユース－清水エスパルス－ＦＣ今治－清水エスパルス,1996/04/24,ＡＣ長野パルセイロ
7,藤山　智史,Tomofumi FUJIYAMA,ふたばサッカースポーツ少年団－伊賀ＦＣＪｒユース－四日市中央工高－鹿屋体育大－ブラウブリッツ秋田,1994/04/23,ＡＣ長野パルセイロ
8,牧野　寛太,Kanta MAKINO,盾津東ＦＣ－ガンバ大阪Ｊｒユース－履正社高－関西大,1997/06/02,ＡＣ長野パルセイロ
9,東　浩史,Hiroshi AZUMA,ＦＣみやぎバルセロナＪｒユース－ＦＣみやぎバルセロナユース－阪南大－愛媛ＦＣ－Ｖ・ファーレン長崎,1987/05/15,ＡＣ長野パルセイロ
10,榊　翔太,Shota SAKAKI,清水サッカー少年団－清水中－コンサドーレ札幌Ｕ－１８－コンサドーレ札幌－ＳＶホルン／オーストリア－栃木ＳＣ,1993/08/03,ＡＣ長野パルセイロ
11,佐野　翼,Tsubasa SANO,富士宮東サッカースポーツ少年団－ＡＣＮジュビロ沼津－清水商高－順天堂大－アルビレックス新潟Ｓ／シンガポール－ロアッソ熊本,1994/10/18,ＡＣ長野パルセイロ
12,三田　尚希,Naoki SANDA,上松中－青森山田高－法政大－ラインメール青森ＦＣ－ＦＣ今治－ヴァンラーレ八戸,1992/08/16,ＡＣ長野パルセイロ
13,宮阪　政樹,Masaki MIYASAKA,ＦＣ東京Ｕ－１５－ＦＣ東京Ｕ－１８－明治大－モンテディオ山形－松本山雅ＦＣ－大分トリニータ－松本山雅ＦＣ－ザスパクサツ群馬,1989/07/15,ＡＣ長野パルセイロ
14,森川　裕基,Yuki MORIKAWA,南太秦サッカースポーツ少年団－京都紫光クラブ－洛北高－立命館大－カマタマーレ讃岐,1993/01/07,ＡＣ長野パルセイロ
15,金園　英学,Hidetaka KANAZONO,立正大淞南高－関西大－ジュビロ磐田－ベガルタ仙台－北海道コンサドーレ札幌－ヴァンフォーレ甲府,1988/09/01,ＡＣ長野パルセイロ
16,山口　和樹,Kazuki YAMAGUCHI,名古屋グランパスＵ－１２－愛知ＦＣ－柏レイソルＵ－１５－日本航空高－国士舘大－湘南ベルマーレ－ＦＣ琉球,1995/05/15,ＡＣ長野パルセイロ
17,武田　太一,Taichi TAKEDA,枚方ＦＣ－ガンバ大阪ユース－早稲田大－徳島ヴォルティス,1997/04/22,ＡＣ長野パルセイロ
18,吉村　弦,Yuzuru YOSHIMURA,高槻ＦＣ－ガンバ大阪ユース－同志社大,1996/05/21,ＡＣ長野パルセイロ
19,矢田貝　壮貴,Soki YATAGAI,ＦＣ平野－京都橘高－大阪体育大,1998/06/11,ＡＣ長野パルセイロ
20,住永　翔,Kakeru SUMINAGA,三笠ＦＣ　Ｕ－１２－北海道コンサドーレ札幌Ｕ－１５－青森山田高－明治大,1998/10/06,ＡＣ長野パルセイロ
21,髙窪　健人,Kento TAKAKUBO,Ｐ．Ｆ．Ｐ　ｃｕｍｅ－ＡＣフツーロ－川口芝中－浦和南高－中央大,1998/07/17,ＡＣ長野パルセイロ
22,藤森　亮志,Ryoji FUJIMORI,諏訪ＦＣプライマリー－諏訪ＦＣジュニアユース－上田西高－立正大,1997/04/11,ＡＣ長野パルセイロ
23,大桃　海斗,Kaito OMOMO,Ｊドリーム三条－長岡ＪｒユースＦＣ　Ｕ－１５－帝京長岡高－早稲田大,1997/10/28,ＡＣ長野パルセイロ
24,小西　陽向,Hinata KONISHI,ＮＰＩＣ　ＨＥＲＥＮＣＩＡ　ＦＣ－ＡＣ長野パルセイロＵ－１５－ＡＣ長野パルセイロＵ－１８,2001/12/21,ＡＣ長野パルセイロ
25,川田　拳登,Kento KAWATA,大宮早起きサッカースポーツ少年団－大宮アルディージャジュニア－大宮アルディージャＪｒユース－大宮アルディージャユース－大宮アルディージャ－ザスパクサツ群馬－大宮アルディージャ－栃木ＳＣ－大宮アルディージャ－栃木ＳＣ－大宮アルディージャ－栃木ＳＣ－大宮アルディージャ－ＡＣ長野パルセイロ－大宮アルディージャ,1997/07/09,ＡＣ長野パルセイロ
26,王　暁峰,WANG Xiao Feng,杭州緑城／中国－広州恒大淘宝足球倶楽部／中国－河南建業／中国－広州恒大淘宝足球倶楽部／中国,2001/07/01,ＡＣ長野パルセイロ
27,寺沢　優太,Yuta TERASAWA,岡谷東部ＦＣ－ＦＣ.ＣＥＤＡＣ－東京都市大塩尻高－関東学院大－ヒラル　マロク　ベルグハイム／ドイツ－奈良クラブ－沖縄ＳＶ,1993/07/31,ＡＣ長野パルセイロ
