,選手名,選手名（英字）,生年月日,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
1566,大迫　暁,Akira OSAKO,1997/11/26,アスルクラロ沼津,日本体育大,履正社高,ヴィッセル神戸Ｕ-１５,,,,,,,,,,,,,,,,,,
1567,後藤　虹介,Kosuke GOTO,1994/07/23,アスルクラロ沼津,ブリオベッカ浦安,アスルクラロ沼津,大阪体育大,飛龍高,ＡＣＮジュビロ沼津,,,,,,,,,,,,,,,,
1568,北　龍磨,Ryoma KITA,1998/04/16,アスルクラロ沼津,関東学院大,興国高,宇治ＦＣＪｒユース,,,,,,,,,,,,,,,,,,
1569,瓜生　昂勢,Kosei URYU,1996/01/08,アスルクラロ沼津,ヴェルスパ大分,ＦＣ今治,ヴェルスパ大分,筑陽学園高,鯰田ＦＣ,,,,,,,,,,,,,,,,
1570,鈴木　拳士郎,Kenshiro SUZUKI,1996/03/20,アスルクラロ沼津,カマタマーレ讃岐,関西大,ジュビロ磐田Ｕ-１８,ＡＣＮジュビロ沼津,アスルクラロ沼津Ｕ１２,愛鷹サッカースポーツ少年団,,,,,,,,,,,,,,,
1571,今村　優介,Yusuke IMAMURA,1997/12/27,アスルクラロ沼津,関東学院大,新城高,川崎フロンターレＵ-１５,,,,,,,,,,,,,,,,,,
1572,渡邉　りょう,Ryo WATANABE,1996/10/25,アスルクラロ沼津,産業能率大,高輪高,代々木中,渋谷セントラルＳＣ,,,,,,,,,,,,,,,,,
1573,染矢　一樹,Kazuki SOMEYA,1986/10/13,アスルクラロ沼津,大分トリニータ,ファジアーノ岡山,ＦＣ岐阜,奈良産業大,江の川高,,,,,,,,,,,,,,,,
1574,大友　竜輔,Ryusuke OTOMO,2000/05/24,アスルクラロ沼津,モンテディオ山形,モンテディオ山形ユース,大曲中,,,,,,,,,,,,,,,,,,
1575,徳永　晃太郎,Kotaro TOKUNAGA,1996/11/10,アスルクラロ沼津,桃山学院大,立正大淞南高,大阪セントラルＦＣ,グローバルフットボール／シンガポール,,,,,,,,,,,,,,,,,
1576,菅井　拓也,Takuya SUGAI,1991/08/02,アスルクラロ沼津,ヴァンラーレ八戸ＦＣ,仙台大,聖和学園高,ベガルタ仙台Ｊｒユース,,,,,,,,,,,,,,,,,
1577,鈴木　厚太,Kota SUZUKI,1997/05/02,アスルクラロ沼津,専修大,飛龍高,ＡＣＮジュビロ沼津,,,,,,,,,,,,,,,,,,
1578,西川　駿一郎,Shunichiro NISHIKAWA,1998/08/15,アスルクラロ沼津,京都産業大,京都橘高,ＡＳ．ラランジャ京都,,,,,,,,,,,,,,,,,,
1579,伊藤　龍生,Ryusei ITO,1998/08/20,アスルクラロ沼津,鹿屋体育大,米子北高,ヴィッセル神戸Ｕ-１５,,,,,,,,,,,,,,,,,,
1580,佐藤　尚輝,Naoki SATO,1996/07/12,アスルクラロ沼津,産業能率大,湘南ベルマーレＵ-１８,湘南ベルマーレＵ-１５平塚,萩野サッカー少年団,,,,,,,,,,,,,,,,,
1581,森　夢真,Yuma MORI,2001/07/02,アスルクラロ沼津,四日市中央工高,アフェラルセ四日市,,,,,,,,,,,,,,,,,,,
1582,徳武　正之,Masayuki TOKUTAKE,1991/08/18,アスルクラロ沼津,ツエーゲン金沢,常葉大,帝京高,,,,,,,,,,,,,,,,,,
1583,川前　陽斗,Haruto KAWAMAE,2002/04/14,アスルクラロ沼津,飯塚高,ＶＡＬＥＮＴＩＡ　ＦＣ　Ｕ-１５,,,,,,,,,,,,,,,,,,,
1584,深井　祐希,Yuki FUKAI,1996/09/06,アスルクラロ沼津,北海道教育大岩見沢校,室蘭大谷高,北海道コンサドーレ札幌Ｕ-１５,北海道コンサドーレ札幌Ｕ-１２,,,,,,,,,,,,,,,,,
1585,伊東　輝悦,Teruyoshi ITO,1974/08/31,アスルクラロ沼津,ブラウブリッツ秋田,ＡＣ長野パルセイロ,ヴァンフォーレ甲府,清水エスパルス,東海大一高,袖師中,清水ＦＣ,,,,,,,,,,,,,,
1586,篠崎　輝和,Terukazu SHINOZAKI,1998/05/13,アスルクラロ沼津,産業能率大,鹿島アントラーズユース,鹿島アントラーズつくばＪｒユース,,,,,,,,,,,,,,,,,,
1587,ハディ　ファイヤッド,Muhammad HADI FAYYADH Bin Abdul Razak,2000/01/22,アスルクラロ沼津,ファジアーノ岡山,ジョホールダルルタクジム／マレーシア,ジョホールダルルタクジム／マレーシア,ジョホールダルルタクジム／マレーシア,,,,,,,,,,,,,,,,,
1588,井上　航希,Koki INOUE,2001/06/20,アスルクラロ沼津,京都サンガF.C.Ｕ-１８,京都サンガF.C.Ｕ-１５,,,,,,,,,,,,,,,,,,,
1589,杉本　大雅,Taiga SUGIMOTO,2003/01/02,アスルクラロ沼津,アスルクラロ沼津Ｕ１８,アスルクラロ沼津Ｕ１５,大仁北SC,,,,,,,,,,,,,,,,,,
1590,鬼島　和希,Kazuki KIJIMA,1998/08/29,アスルクラロ沼津,順天堂大,柏レイソルＵ-１８,柏レイソルＵ-１５,,,,,,,,,,,,,,,,,,
1591,高橋　潤哉,Junya TAKAHASHI,1997/05/28,アスルクラロ沼津,モンテディオ山形,駒澤大,モンテディオ山形ユース,ＦＣあきた,大住サッカースポーツ少年団,,,,,,,,,,,,,,,,
1592,濱　託巳,Takumi HAMA,1996/09/11,アスルクラロ沼津,新潟経営大,藤枝明誠高,藤枝明誠ＳＣ,大富サッカースポーツ少年団,,,,,,,,,,,,,,,,,
1593,岡本　享也,Michiya OKAMOTO,1995/05/15,ＦＣ岐阜,日本大,川崎フロンターレＵ-１８,ＦＣ東京Ｕ-１５むさし,,,,,,,,,,,,,,,,,,
1594,橋本　和,Wataru HASHIMOTO,1986/09/14,ＦＣ岐阜,ヴィッセル神戸,浦和レッズ,ヴィッセル神戸,浦和レッズ,柏レイソル,大阪体育大,青森山田高,バーニングブラッドＦＣ,,,,,,,,,,,,,
1595,竹田　忠嗣,Tadashi TAKEDA,1986/07/27,ＦＣ岐阜,ファジアーノ岡山,ジェフリザーブズ,ジェフユナイテッド千葉,ジェフリザーブズ,ジェフユナイテッド千葉,ジェフ・クラブ,ジェフユナイテッド千葉,ジェフユナイテッド市原ユース,ジェフユナイテッド市原Ｊｒユース舞浜,,,,,,,,,,,,
1596,甲斐　健太郎,Kentaro KAI,1994/11/01,ＦＣ岐阜,ガイナーレ鳥取,ＦＣ岐阜,阪南大,立正大淞南高,大阪セントラルＦＣＪｒユース,大阪セントラルＦＣジュニア,,,,,,,,,,,,,,,
1597,パウロン,Luis Paulo Da Silva(PAULAO),1989/12/04,ＦＣ岐阜,アルビレックス新潟,栃木ＳＣ,北海道コンサドーレ札幌,水戸ホーリーホック,北海道コンサドーレ札幌,福島ユナイテッドＦＣ,コンサドーレ札幌,ローマ　アプカラーナ／ブラジル,ＦＣカスカヴェウ／ブラジル,ローマ　アプカラーナ／ブラジル,エンジェネイロ　ベウトラン／ブラジル,ローマ　アプカラーナ／ブラジル,,,,,,,,,
1598,三島　頌平,Shohei MISHIMA,1995/11/20,ＦＣ岐阜,中央大,帝京大可児高,帝京大可児中,小泉少年ＳＣ,,,,,,,,,,,,,,,,,
1599,村田　透馬,Toma MURATA,2000/07/22,ＦＣ岐阜,興国高,ガンバ大阪堺Ｊｒユース,ガンバ大阪堺ジュニア,深井FC,,,,,,,,,,,,,,,,,
1600,中島　賢星,Kensei NAKASHIMA,1996/09/23,ＦＣ岐阜,横浜Ｆ・マリノス,ＦＣ岐阜,横浜Ｆ・マリノス,東福岡高,アビスパ福岡Ｕ-１５,バディＦＣジュニア,横浜Ｆ・マリノスプライマリー追浜,横須賀シーガルスジュニア,,,,,,,,,,,,,
1601,山内　寛史,Hirofumi YAMAUCHI,1995/02/09,ＦＣ岐阜,セレッソ大阪,モンテディオ山形,セレッソ大阪,ＦＣ町田ゼルビア,セレッソ大阪,ＦＣ町田ゼルビア,セレッソ大阪,早稲田大,国学院久我山高,アーゼット８６東京青梅,金子ＦＣ,,,,,,,,,,
1602,川西　翔太,Shota KAWANISHI,1988/10/28,ＦＣ岐阜,大分トリニータ,ＦＣ岐阜,大分トリニータ,ＦＣ岐阜,大分トリニータ,モンテディオ山形,ガンバ大阪,モンテディオ山形,ガンバ大阪,大阪体育大,青森山田高,奈良ＦＣ,奈良ＦＣジュニア,,,,,,,,
1603,レレウ,Claudionor Souza de Jesus(LELEU),1993/03/05,ＦＣ岐阜,湘南ベルマーレ,水戸ホーリーホック,湘南ベルマーレ,アトレチコＭＧ／ブラジル,ボア　エスポルチ／ブラジル,アトレチコＭＧ／ブラジル,パイサンドゥＳＣ／ブラジル,ナウチコ／ブラジル,アトレチコＭＧ／ブラジル,アトレチコＭＣ　Ｕ-２３／ブラジル,,,,,,,,,,,
1604,本田　拓也,Takuya HONDA,1985/04/17,ＦＣ岐阜,モンテディオ山形,清水エスパルス,鹿島アントラーズ,清水エスパルス,法政大,桐光学園高,ＦＣコラソン,,,,,,,,,,,,,,
1605,町田　ブライト,Bright MACHIDA,1996/10/23,ＦＣ岐阜,ＪＡＰＡＮサッカーカレッジ,東京国際大,成立学園高,鶴ヶ島南中,,,,,,,,,,,,,,,,,
1606,富樫　佑太,Yuta TOGASHI,1995/12/18,ＦＣ岐阜,ＦＣ琉球,国学院久我山高,ジェファＦＣ,ヴァロールＦＣイースト,,,,,,,,,,,,,,,,,
1607,藤谷　匠,Takumi FUJITANI,1995/12/06,ＦＣ岐阜,神戸学院大,香川西高,ＦＣフレスカ神戸,,,,,,,,,,,,,,,,,,
1608,服部　康平,Kohei HATTORI,1991/04/04,ＦＣ岐阜,松本山雅ＦＣ,栃木ＳＣ,ＳＣ相模原,国士舘大,国士舘高,町田ＪＦＣ,大蔵ＦＣ,,,,,,,,,,,,,,
1609,桐畑　和繁,Kazushige KIRIHATA,1987/06/30,ＦＣ岐阜,柏レイソル,柏レイソルＵ-１８,柏ラッセルＦＣ,,,,,,,,,,,,,,,,,,
1610,松本　拓也,Takuya MATSUMOTO,1989/02/06,ＦＣ岐阜,ブラウブリッツ秋田,ギラヴァンツ北九州,湘南ベルマーレ,川崎フロンターレ,湘南ベルマーレ,順天堂大,ジュビロ磐田ユース,ジュビロ沼津,香貫ＳＳＳ,,,,,,,,,,,,
1611,舩津　徹也,Tetsuya FUNATSU,1987/02/09,ＦＣ岐阜,ザスパクサツ群馬,モンテディオ山形,カターレ富山,セレッソ大阪,カターレ富山,びわこ成蹊スポーツ大,立正大淞南高,,,,,,,,,,,,,,
1612,大西　遼太郎,Ryotaro ONISHI,1997/11/24,ＦＣ岐阜,法政大,ジュビロ磐田Ｕ-１８,ジュビロＳＳ浜松,広沢ＳＳＳ,,,,,,,,,,,,,,,,,
1613,粟飯原　尚平,Shohei AIHARA,1996/05/26,ＦＣ岐阜,近畿大,北海道コンサドーレ札幌Ｕ-１８,ＳＳＳ札幌,,,,,,,,,,,,,,,,,,
1614,生地　慶充,Yoshiatsu OIJI,1998/04/02,ＦＣ岐阜,筑波大,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５むさし,松庵小ＳＣ,,,,,,,,,,,,,,,,,
1615,小山　新,Arata KOYAMA,1998/06/14,ＦＣ岐阜,関西大,青森山田高,青森山田中,六ヶ所ＦＣ,,,,,,,,,,,,,,,,,
1616,本石　捺,Natsu MOTOISHI,1999/02/03,ＦＣ岐阜,阪南大,佐野日大高,大阪セゾンＦＣ,ＦＣ猿蹴,青英学園ＳＣ,,,,,,,,,,,,,,,,
1617,三ッ田　啓希,Haruki MITSUDA,1997/12/22,ＦＣ岐阜,松本山雅ＦＣ,中央大,西武学園文理高,Ｆｏｒｚａ’０２,レアル狭山Ｊｒ．,,,,,,,,,,,,,,,,
1618,松本　歩夢,Ayumu MATSUMOTO,1998/04/28,ＦＣ岐阜,関西大,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,,,,,,,,,,,,,,,,,,
1619,キム　ホ,KIM Ho,1998/03/15,ＦＣ岐阜,高麗大／大韓民国,輔仁高／大韓民国,,,,,,,,,,,,,,,,,,,
1620,大野　哲煥,ONO Cholhwan,1993/10/25,ＦＣ岐阜,ジェフユナイテッド千葉,栃木ＳＣ,ジェフユナイテッド千葉,城西国際大,サンフレッチェ広島ユース,レスポール浜田Ｊｒユース,サンパルス浜田ＦＣ,,,,,,,,,,,,,,
1621,吉濱　遼平,Ryohei YOSHIHAMA,1992/10/24,ＦＣ岐阜,レノファ山口ＦＣ,ＦＣ町田ゼルビア,ザスパクサツ群馬,湘南ベルマーレ,福島ユナイテッドＦＣ,湘南ベルマーレ,松陰大,大師高,川崎フロンターレＵ-１８,川崎フロンターレＵ-１５,セリエＦＣ,,,,,,,,,,
1622,柏木　陽介,Yosuke KASHIWAGI,1987/12/15,ＦＣ岐阜,浦和レッズ,サンフレッチェ広島,サンフレッチェ広島ユース,御津中,御津スポーツ少年団,,,,,,,,,,,,,,,,
1623,福留　健吾,Kengo FUKUDOME,1987/05/14,ガイナーレ鳥取,アルビレックス新潟シン／シンガポール,アスルクラロ沼津,水戸ホーリーホック,アレマニアアーヘン／ドイツ,アレマニアアーヘンⅡ／ドイツ,ＳＦトロイスドルフ／ドイツ,１．ＦＣニーダカッセル／ドイツ,ＳＶクリークスドルフ／ドイツ,関西大,境高,大山中,鳥取セリオＦＣ,大山西小,,,,,,,,
1624,小牧　成亘,Masanobu KOMAKI,1992/04/28,ガイナーレ鳥取,ヴァンラーレ八戸,藤枝ＭＹＦＣ,ロアッソ熊本,アスルクラロ沼津,ロアッソ熊本,駒澤大,ルーテル学院高,ルーテル学院中,熊本アクアＳＣ,,,,,,,,,,,,
1625,藤原　拓也,Takuya FUJIWARA,1992/12/18,ガイナーレ鳥取,アスルクラロ沼津,神奈川大,武相高,ジュニオールＳＣ,,,,,,,,,,,,,,,,,
1626,鈴木　順也,Junya SUZUKI,1996/05/02,ガイナーレ鳥取,ザスパクサツ群馬,立正大,桐生第一高,ウイングス鹿沼ＳＣ,本郷北ＦＣ,,,,,,,,,,,,,,,,
1627,新井　泰貴,Taiki ARAI,1997/06/19,ガイナーレ鳥取,産業能率大,湘南ベルマーレＵ-１８,湘南ベルマーレＵ-１５平塚,湘南レオーネ,,,,,,,,,,,,,,,,,
1628,可児　壮隆,Masataka KANI,1991/04/18,ガイナーレ鳥取,川崎フロンターレ,ＦＣ今治,川崎フロンターレ,ツエーゲン金沢,川崎フロンターレ,湘南ベルマーレ,川崎フロンターレ,阪南大,川崎フロンターレＵ-１８,川崎フロンターレＵ-１５,ＦＣムサシ,鉄ＦＣ,,,,,,,,,
1629,安藤　一哉,Kazuya ANDO,1997/07/15,ガイナーレ鳥取,東京農業大,ジェフユナイテッド千葉Ｕ-１８,ジェフユナイテッド千葉Ｕ-１５,葛城ＦＣ,,,,,,,,,,,,,,,,,
1630,田口　裕也,Yuya TAGUCHI,2001/04/08,ガイナーレ鳥取,四日市中央工高,セレッソ大阪西Ｕ-１５,大山田サッカースポーツ少年団,,,,,,,,,,,,,,,,,,
1631,大久保　優,Yu OKUBO,1997/05/17,ガイナーレ鳥取,関西大,東山高,マルカＦＣ　Ｊｒユース,京都Ｊ,マルカＦＣ,京都Ｊ,,,,,,,,,,,,,,,
1632,田尻　健,Ken TAJIRI,1993/06/11,ガイナーレ鳥取,ガンバ大阪,ツエーゲン金沢,ガンバ大阪,ツエーゲン金沢,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,,,,,,,,,,,,,,
1633,魚里　直哉,Naoya UOZATO,1995/08/03,ガイナーレ鳥取,セレッソ大阪,関西学院大,セレッソ大阪Ｕ-１８,青雲中,洲本ＦＣ,,,,,,,,,,,,,,,,
1634,石田　侑資,Yusuke ISHIDA,2002/11/11,ガイナーレ鳥取,市立船橋高,徳島ヴォルティスＪｒユース,徳島ＲＡＰＡＺ,,,,,,,,,,,,,,,,,,
1635,石井　光輝,Koki ISHII,1995/03/15,ガイナーレ鳥取,関西大,常葉学園橘高,常葉学園橘中,沢地ＳＳＳ,,,,,,,,,,,,,,,,,
1636,妹尾　直哉,Naoya SENOO,1996/08/15,ガイナーレ鳥取,ＡＣ長野パルセイロ,ガンバ大阪,ガンバ大阪ユース,津ラピドＦＣ,三重ＦＣセントロ津南,,,,,,,,,,,,,,,,
1637,石川　大地,Daichi ISHIKAWA,1996/02/22,ガイナーレ鳥取,ＦＣ岐阜,アスルクラロ沼津,ＦＣ岐阜,桐蔭横浜大,水戸啓明高,神栖第二中,,,,,,,,,,,,,,,
1638,清永　丈瑠,Takeru KIYONAGA,1994/10/24,ガイナーレ鳥取,レノファ山口ＦＣ,関西大,鹿島アントラーズユース,レオーネ山口Ｕ-１５,,,,,,,,,,,,,,,,,
1639,原田　虹輝,Koki HARADA,2000/08/06,ガイナーレ鳥取,川崎フロンターレ,昌平高,クラブ与野,岩槻ジャガーズサッカースポーツ少年団,,,,,,,,,,,,,,,,,
1640,永島　悠史,Yushi NAGASHIMA,1996/07/12,ガイナーレ鳥取,ＦＣ岐阜,京都サンガF.C.,ＦＣ岐阜,京都サンガF.C.,ＦＣ岐阜,京都サンガF.C.,京都サンガF.C.Ｕ-１８,京都サンガF.C.Ｕ-１５,山田荘ＳＣ,,,,,,,,,,,,
1641,小山　珠里,Shuri KOYAMA,1999/01/24,ガイナーレ鳥取,東京農業大,成立学園高,成立ゼブラＦＣ,蓮田キッカーズ,,,,,,,,,,,,,,,,,
1642,新井　光,Hikaru ARAI,1999/04/14,ガイナーレ鳥取,湘南ベルマーレ,ガイナーレ鳥取,湘南ベルマーレ,市立長野高,ＡＣ長野パルセイロＵ-１８,ＡＣ長野パルセイロＵ-１５,昭和ＦＣ,,,,,,,,,,,,,,
1643,坂本　敬,Kei SAKAMOTO,2001/07/05,ガイナーレ鳥取,ガイナーレ鳥取Ｕ-１８,ＳＣ鳥取プエデＵ-１５,,,,,,,,,,,,,,,,,,,
1644,秋山　大地,Daichi AKIYAMA,1994/07/28,ガイナーレ鳥取,セレッソ大阪,モンテディオ山形,セレッソ大阪,愛媛ＦＣ,セレッソ大阪,セレッソ大阪Ｕ-１８,セレッソ大阪Ｕ-１５,藤井寺サッカースポーツ少年団,,,,,,,,,,,,,
1645,世瀬　啓人,Hiroto SESE,1999/08/20,ガイナーレ鳥取,ガイナーレ鳥取Ｕ-１８,ＦＣカミノＪｒユース,,,,,,,,,,,,,,,,,,,
1646,谷口　智紀,Tomoki TANIGUCHI,1992/10/22,ガイナーレ鳥取,アスルクラロ沼津,奈良クラブ,立命館大,滝川二高,,,,,,,,,,,,,,,,,
1647,横川　旦陽,Asahi YOKOKAWA,2002/05/26,ガイナーレ鳥取,湘南ベルマーレ,湘南ベルマーレＵ-１８,湘南ベルマーレＵ-１５平塚,芦子ＳＣ,,,,,,,,,,,,,,,,,
1648,糸原　紘史郎,Koshiro ITOHARA,1998/02/25,ガイナーレ鳥取,びわこ成蹊スポーツ大,サンフレッチェ広島ユース,ＦＣカミノＪｒユース,ＦＣカミノ,,,,,,,,,,,,,,,,,
1649,杉井　颯,Hayate SUGII,2000/05/17,ガイナーレ鳥取,柏レイソル,ツエーゲン金沢,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,柏ラッセルＦＣ,流山隼ＳＣ,,,,,,,,,,,,,,
1650,谷尾　昂也,Koya TANIO,1992/05/29,ガイナーレ鳥取,ヴァンラーレ八戸,サウルコス福井,松江シティＦＣ,ガイナーレ鳥取,Ｖｏｎｄｓ市原,ガイナーレ鳥取,川崎フロンターレ,ガイナーレ鳥取,川崎フロンターレ,米子北高,みわＳＣ,河原ＦＣ,,,,,,,,,
1651,高橋　拓也,Takuya TAKAHASHI,1989/06/30,カマタマーレ讃岐,ギラヴァンツ北九州,横浜Ｆ・マリノス,Ｙ．Ｓ．Ｃ．Ｃ．横浜,神奈川大,日大藤沢高,横浜Ｆ・マリノスＪｒユース追浜,スワＳＣ,,,,,,,,,,,,,,
1652,西野　貴治,Takaharu NISHINO,1993/09/14,カマタマーレ讃岐,ガンバ大阪,ジェフユナイテッド千葉,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,,,,,,,,,,,,,,,,
1653,松本　直也,Naoya MATSUMOTO,1997/09/30,カマタマーレ讃岐,東海学園大,中央学院高,,,,,,,,,,,,,,,,,,,
1654,薩川　淳貴,Atsuki SATSUKAWA,1997/08/12,カマタマーレ讃岐,関東学院大,静岡学園高,ＬＩＢＥＲＤＡＤＥ　ＦＣ,,,,,,,,,,,,,,,,,,
1655,小松　拓幹,Takumi KOMATSU,1997/04/09,カマタマーレ讃岐,立命館大,阪南大付属高,,,,,,,,,,,,,,,,,,,
1656,長谷川　隼,Hayato HASEGAWA,1997/09/14,カマタマーレ讃岐,阪南大,川崎フロンターレＵ-１８,川崎フロンターレＵ-１５,川崎フロンターレＵ-１２,,,,,,,,,,,,,,,,,
1657,西本　雅崇,Masataka NISHIMOTO,1996/06/11,カマタマーレ讃岐,セレッソ大阪,セレッソ大阪Ｕ-１８,セレッソ大阪Ｕ-１５,セレッソ大阪Ｕ-１２,,,,,,,,,,,,,,,,,
1658,渡辺　悠雅,Yuga WATANABE,1996/05/15,カマタマーレ讃岐,明治大,横河武蔵野ＦＣユース,横河武蔵野ＦＣＪｒユース,横河武蔵野ＦＣジュニア,,,,,,,,,,,,,,,,,
1659,栗田　マークアジェイ,Mark Ajay KURITA,1998/03/07,カマタマーレ讃岐,静岡産業大,東京実業高,東京ＳＣ　Ｕ-１５,玉川スポーツ少年団,,,,,,,,,,,,,,,,,
1660,高木　和正,Kazumasa TAKAGI,1984/12/17,カマタマーレ讃岐,栃木ＳＣ,ＦＣ岐阜,サンフレッチェ広島,モンテディオ山形,サンフレッチェ広島,香川西高,志度中,志度スポーツ少年団,,,,,,,,,,,,,
1661,重松　健太郎,Kentaro SHIGEMATSU,1991/04/15,カマタマーレ讃岐,ＦＣ町田ゼルビア,栃木ＳＣ,ＦＣ東京,愛媛ＦＣ,ＦＣ東京,ヴァンフォーレ甲府,ＦＣ東京,アビスパ福岡,ＦＣ東京,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５むさし,つばさＳＣ,,,,,,,,,
1662,佐々木　渉,Wataru SASAKI,1996/07/28,カマタマーレ讃岐,ＦＣ東京,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５むさし,富士見ヶ丘少年蹴球団,,,,,,,,,,,,,,,,,
1663,岩本　和希,Kazuki IWAMOTO,1997/04/07,カマタマーレ讃岐,関西学院大,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,横浜Ｆ・マリノスプライマリー,大豆戸ＦＣ,,,,,,,,,,,,,,,,
1664,渡辺　健太,Kenta WATANABE,1998/04/28,カマタマーレ讃岐,ＦＣ町田ゼルビア,福島ユナイテッドＦＣ,ＦＣ町田ゼルビア,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,海南ＦＣジュニア,,,,,,,,,,,,,,,
1665,後藤　卓磨,Takuma GOTO,1997/07/16,カマタマーレ讃岐,ＦＣ徳島,関西国際大,徳島ヴォルティスユース,,,,,,,,,,,,,,,,,,
1666,中村　亮,Ryo NAKAMURA,1996/12/31,カマタマーレ讃岐,阪南大,鹿児島城西高,鹿児島育英館中,プラッツ鹿児島,,,,,,,,,,,,,,,,,
1667,川﨑　一輝,Ikki KAWASAKI,1997/11/08,カマタマーレ讃岐,大阪経済大,東海大仰星高,ガンバ大阪門真Ｊｒユース,長尾ＳＣ,,,,,,,,,,,,,,,,,
